time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.3,-0.0011231429,-0.0012921361,-0.0018483366,-4.7678033e-05,-5.3465188e-05,-6.3034758e-06,-0.00012757313,0.00016323242,2.5768935,-2.7813886e-05,3.0797305e-05,0.38738021,3672.1901,3672.6761,3672.7036,3673.0297,3672.5437,3672.5162,33.45565,33.461681,33.462023,33.466069,33.460038,33.459696,0.00030517215,0.00025318729,0,3,0,0,-0.0019161191,-0.0017745964,14.795533,1,1,1,1,1,1
0.31,-0.00075836392,-0.00091821431,-0.0014500343,-4.0571897e-05,-4.8000294e-05,-6.2581241e-06,-0.00014675642,0.00018603393,2.6227734,-3.0504682e-05,3.3691015e-05,0.41338191,3629.066,3629.4454,3629.4676,3629.724,3629.3446,3629.3225,32.920505,32.925214,32.925488,32.928671,32.923962,32.923688,0.00029832696,0.00024855656,0,3,0,0,-0.0014967529,-0.001395128,14.396535,1,1,1,1,1,1
0.32,-5.8295282e-05,-0.00021201245,-0.00074046499,-3.3687424e-05,-4.2681663e-05,-6.2268048e-06,-0.00016526696,0.00020787851,2.6648287,-3.3263713e-05,3.6642428e-05,0.43982313,3588.6781,3588.8629,3588.8733,3589.0037,3588.819,3588.8085,32.419316,32.421608,32.421737,32.423356,32.421063,32.420934,0.00029669246,0.00024863525,0,3,0,0,-0.00075980709,-0.00071484549,14.014784,1,1,1,1,1,1
0.33,-0.0032946348,-0.0034438328,-0.0039808872,-2.6823406e-05,-3.7331537e-05,-6.198522e-06,-0.00018355411,0.00022927236,2.7032325,-3.6081806e-05,3.9640479e-05,0.46666649,3549.917,3550.9882,3551.0502,3551.7544,3550.6832,3550.6212,31.938313,31.951606,31.952375,31.961113,31.94782,31.947052,0.00029999053,0.00025315504,0,3,0,0,-0.0039866476,-0.003970502,13.646401,1,1,1,1,1,1
0.34,0.0075091264,0.0073608107,0.0067912604,-1.9806358e-05,-3.1796844e-05,-6.1637832e-06,-0.00020200837,0.00025065645,2.7381596,-3.8950218e-05,4.2674702e-05,0.49387635,3516.8681,3514.9825,3514.8685,3513.6605,3515.546,3515.6601,31.528195,31.504797,31.503381,31.488391,31.511789,31.513205,0.0003077068,0.00026164948,0,3,0,0,0.0068250858,0.0067529479,13.309499,1,1,1,1,1,1
0.35,0.0038555107,0.0037117108,0.0031302055,-1.2464193e-05,-2.5926087e-05,-6.1131944e-06,-0.00022101064,0.00027246246,2.7697844,-4.1860378e-05,4.5734929e-05,0.52141882,3482.7577,3481.8759,3481.821,3481.2623,3482.144,3482.1989,31.104905,31.093963,31.093282,31.086348,31.09729,31.097972,0.00031988321,0.00027414151,0,3,0,0,0.0031035277,0.0031613359,12.975602,1,1,1,1,1,1
0.36,-0.0014702944,-0.001600714,-0.0021414278,-5.4184031e-06,-2.0255488e-05,-6.0778409e-06,-0.00023905987,0.00029295118,2.798267,-4.4803819e-05,4.8811207e-05,0.54926172,3441.9162,3442.4858,3442.5187,3442.8974,3442.3278,3442.2949,30.598086,30.605154,30.605563,30.610262,30.603194,30.602786,0.00031425105,0.00027132881,0,3,0,0,-0.0022310896,-0.0020311021,12.656115,1,1,1,1,1,1
0.37,-0.0024738355,-0.0025909179,-0.0030916389,1.0021962e-06,-1.5068523e-05,-6.0740383e-06,-0.0002553699,0.00031121185,2.8237147,-4.7772676e-05,5.1894369e-05,0.57737418,3399.7974,3400.6311,3400.6808,3401.2294,3400.3957,3400.346,30.075417,30.085763,30.08638,30.093188,30.082841,30.082225,0.00029880063,0.00026010599,0,3,0,0,-0.0031625211,-0.0029968953,12.351681,1,1,1,1,1,1
0.38,0.000120444,1.1492467e-05,-0.00048098163,7.0504982e-06,-1.014572e-05,-6.0886247e-06,-0.00027056287,0.00032796327,2.8462059,-5.0759979e-05,5.4976376e-05,0.60572626,3360.7294,3360.8468,3360.8538,3360.939,3360.8216,3360.8146,29.590607,29.592063,29.59215,29.593206,29.59175,29.591663,0.00029005478,0.00025475314,0,3,0,0,-0.00050217718,-0.00044197374,12.058641,1,1,1,1,1,1
0.39,0.0029907486,0.0028868617,0.0023840894,1.3072319e-05,-5.1876065e-06,-6.1037738e-06,-0.00028547765,0.00034417664,2.8658241,-5.3759386e-05,5.805001e-05,0.63428881,3323.8953,3323.2255,3323.1852,3322.7614,3323.4312,3323.4715,29.133517,29.125205,29.124705,29.119445,29.127757,29.128257,0.00029084611,0.00025770376,0,3,0,0,0.0023819069,0.0024001691,11.774211,1,1,1,1,1,1
