time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.3,-0.0011232458,0.021292036,-0.0018483389,-4.7683495e-05,0.0021713658,-6.4679707e-06,-0.0031772709,0.00016322518,2.5768914,0.00013572886,3.0796747e-05,0.38738017,3670.6503,3671.1362,3672.7045,3674.5714,3674.0854,3672.5171,33.436542,33.442572,33.462034,33.4852,33.47917,33.459708,0.00030502848,0.023899214,0,3,0.06,0,-0.0007693084,-0.001774573,14.79554,1,1,1,1,1,1
0.31,-0.00075848331,0.02299178,-0.0014500368,-4.057839e-05,0.0024092943,-6.4328866e-06,-0.0035713995,0.00018602449,2.6227708,0.00016153672,3.3690344e-05,0.41338185,3627.5151,3627.8946,3629.4687,3631.2772,3630.8978,3629.3236,32.90126,32.905969,32.925503,32.947945,32.943237,32.923703,0.00029817459,0.024872442,0,3,0.062,0,-0.0003868874,-0.001395107,14.396543,1,1,1,1,1,1
0.32,-5.8429862e-05,0.025030361,-0.00074046755,-3.369513e-05,0.0026603693,-6.4107091e-06,-0.00398676,0.00020786649,2.6648255,0.00019076705,3.6641632e-05,0.43982305,3587.1188,3587.3035,3588.8748,3590.566,3590.3813,3588.8101,32.399965,32.402257,32.421756,32.442744,32.440451,32.420953,0.0002965317,0.025848324,0,3,0.064,0,0.00030480908,-0.00071482834,14.014793,1,1,1,1,1,1
0.33,-0.0032947838,0.023135466,-0.0039808899,-2.6832472e-05,0.002924824,-6.3902871e-06,-0.0044228441,0.00022925744,2.7032286,0.00022367701,3.9639543e-05,0.46666639,3548.3518,3549.423,3551.052,3553.3233,3552.2521,3550.6231,31.91889,31.932183,31.952398,31.980583,31.96729,31.947075,0.00029982195,0.026824574,0,3,0.066,0,-0.0029751235,-0.0039704873,13.646411,1,1,1,1,1,1
0.34,0.0075089643,0.035279638,0.0067912577,-1.9816893e-05,0.0032028472,-6.3619303e-06,-0.0048789305,0.00025063836,2.738155,0.00026052812,4.2673614e-05,0.49387623,3515.2998,3513.4143,3514.8707,3515.2333,3517.1188,3515.6624,31.508734,31.485336,31.503409,31.507909,31.531307,31.513234,0.00030753121,0.027798753,0,3,0.068,0,0.0077761372,0.0067529557,13.309511,1,1,1,1,1,1
0.35,0.0038553339,0.032970779,0.0031302027,-1.2476263e-05,0.0034946069,-6.315979e-06,-0.0053541441,0.00027244103,2.7697789,0.00030158646,4.5733677e-05,0.52141866,3481.1894,3480.3077,3481.8238,3482.8362,3483.7179,3482.2018,31.085444,31.074502,31.093317,31.105879,31.116821,31.098007,0.0003197017,0.028768955,0,3,0.07,0,0.0039871819,0.0031613523,12.975615,1,1,1,1,1,1
0.36,-0.0014704885,0.028997387,-0.0021414307,-5.4322078e-06,0.0037995647,-6.2833115e-06,-0.0058455916,0.00029292599,2.7982605,0.00034712274,4.8809776e-05,0.54926152,3440.351,3440.9206,3442.522,3444.4693,3443.8997,3442.2983,30.578663,30.585731,30.605605,30.629769,30.622701,30.602828,0.00031406102,0.029713985,0,3,0.072,0,-0.0014218032,-0.0020310758,12.65613,1,1,1,1,1,1
0.37,-0.002474046,0.029342835,-0.0030916417,9.8637774e-07,0.0041174141,-6.2802106e-06,-0.0063509484,0.0003111824,2.8237071,0.00039741033,5.1892747e-05,0.57737393,3398.2386,3399.0723,3400.6849,3402.7964,3401.9626,3400.3501,30.056073,30.066419,30.08643,30.112632,30.102286,30.082276,0.00029860017,0.030638701,0,3,0.074,0,-0.002435181,-0.0029968732,12.351698,1,1,1,1,1,1
0.38,0.0001202202,0.033275198,-0.0004809845,7.0324487e-06,0.0044483294,-6.2935072e-06,-0.0068691436,0.00032792918,2.8461972,0.00045272346,5.4974551e-05,0.60572596,3359.1804,3359.2978,3360.8586,3362.4976,3362.3803,3360.8195,29.571384,29.572841,29.592209,29.612549,29.611093,29.591724,0.00028984482,0.031555207,0,3,0.076,0,0.00013516009,-0.00044196235,12.05866,1,1,1,1,1,1
0.39,0.0029905131,0.03747253,0.0023840866,1.3051918e-05,0.0047925415,-6.3052733e-06,-0.0073991656,0.00034413772,2.8658142,0.00051333632,5.804797e-05,0.63428844,3322.3597,3321.6899,3323.1909,3324.3084,3324.9783,3323.4772,29.114461,29.106148,29.124776,29.138643,29.146956,29.128328,0.00029062851,0.032463685,0,3,0.078,0,0.0029217404,0.0024001752,11.774232,1,1,1,1,1,1
